epoch,train_loss,train_cls_loss,train_density_loss,val_loss,val_accuracy,val_obo,score,lr,lambda_density
1,1.365974,1.365974,3.399133,1.333031,0.326667,0.313333,0.322667,0.000993874949446081,0.0
2,1.279782,1.279782,3.180271,1.123438,0.553333,0.48,0.531333,0.0009756506168568389,0.0
3,1.173107,1.173107,3.208702,1.00645,0.64,0.426667,0.576,0.000945775745783713,0.0
4,1.123534,1.123534,3.364304,1.004753,0.633333,0.506667,0.595333,0.0009049859547015363,0.0
5,1.075561,1.075561,3.394148,0.85147,0.706667,0.42,0.620667,0.0008542856236403073,0.0
6,1.008325,1.008325,3.481592,0.952811,0.666667,0.433333,0.596667,0.0007949231630155054,0.0
7,1.007818,1.007818,3.249776,0.777224,0.726667,0.44,0.640667,0.0007283602736204245,0.0
8,0.952419,0.952419,3.233231,0.846047,0.746667,0.42,0.648667,0.0006562359547015364,0.0
9,0.945376,0.945376,3.228803,0.752504,0.746667,0.406667,0.644667,0.0005803261463575149,0.0
10,0.940593,0.940593,3.429034,0.763435,0.726667,0.42,0.634667,0.0005025,0.0
11,0.921552,0.921552,3.217371,0.81509,0.72,0.433333,0.634,0.0004246738536424853,0.0
12,0.972562,0.915347,1.90717,0.969503,0.68,0.466667,0.616,0.0003487640452984637,0.03
13,0.942496,0.890633,0.864387,0.85257,0.706667,0.466667,0.634667,0.0002766397263795755,0.06
14,0.92932,0.864535,0.719844,0.86476,0.706667,0.513333,0.648667,0.0002100768369844947,0.09
15,0.972998,0.890864,0.684447,0.89653,0.713333,0.533333,0.659333,0.00015071437635969266,0.12
16,0.946656,0.847703,0.659685,0.901964,0.713333,0.546667,0.663333,0.00010001404529846369,0.15
17,1.003908,0.886082,0.654589,0.914456,0.72,0.506667,0.656,5.9224254216287026e-05,0.18
18,0.9849,0.849513,0.644699,0.933414,0.713333,0.52,0.655333,2.934938314316112e-05,0.21
19,1.039741,0.884092,0.648537,0.955345,0.706667,0.5,0.644667,1.1125050553919015e-05,0.24
20,1.064445,0.889271,0.64879,0.958706,0.726667,0.493333,0.656667,0.001,0.27
21,1.049965,0.85701,0.643181,1.070697,0.686667,0.5,0.630667,0.0009984663735322313,0.3
22,1.132288,0.945738,0.621833,1.08195,0.653333,0.513333,0.611333,0.000993874949446081,0.3
23,1.139744,0.955686,0.613526,1.022943,0.713333,0.486667,0.645333,0.0009862540353978442,0.3
24,1.119823,0.935869,0.613182,1.029204,0.693333,0.48,0.629333,0.0009756506168568389,0.3
25,1.05297,0.869762,0.610693,1.051072,0.686667,0.573333,0.652667,0.0009621300674243652,0.3
26,1.100499,0.917575,0.609748,0.986927,0.74,0.553333,0.684,0.000945775745783713,0.3
27,1.089751,0.9064,0.61117,0.946725,0.733333,0.486667,0.659333,0.0009266884817661609,0.3
28,1.071617,0.88882,0.609324,1.141826,0.62,0.48,0.578,0.0009049859547015363,0.3
29,1.088878,0.906042,0.609455,1.078695,0.653333,0.453333,0.593333,0.0008808019678860154,0.3
30,1.00822,0.825018,0.610673,1.017796,0.68,0.506667,0.628,0.0008542856236403073,0.3
31,1.089168,0.906546,0.608741,1.037146,0.673333,0.453333,0.607333,0.0008256004040442665,0.3
32,1.037853,0.855286,0.608557,1.004356,0.706667,0.533333,0.654667,0.0007949231630155054,0.3
33,0.981766,0.799282,0.60828,1.092573,0.653333,0.506667,0.609333,0.0007624430359461845,0.3
34,1.005657,0.822689,0.609892,1.028359,0.686667,0.493333,0.628667,0.0007283602736204245,0.3
35,1.094131,0.911641,0.608301,1.005911,0.72,0.593333,0.682,0.0006928850076016322,0.3
36,1.052436,0.870107,0.607762,1.028444,0.726667,0.466667,0.648667,0.0006562359547015364,0.3
37,0.996997,0.814836,0.607201,0.960347,0.726667,0.46,0.646667,0.000618639068518313,0.3
38,1.043222,0.860449,0.609241,0.947441,0.713333,0.473333,0.641333,0.0005803261463575149,0.3
39,0.951414,0.768722,0.608974,0.874132,0.76,0.5,0.682,0.0005415334001246029,0.3
40,0.997197,0.814774,0.608075,0.992039,0.686667,0.46,0.618667,0.0005025,0.3
41,0.967867,0.785408,0.608197,0.94068,0.773333,0.466667,0.681333,0.00046346659987539724,0.3
42,0.942508,0.760054,0.608178,0.908268,0.733333,0.466667,0.653333,0.0004246738536424853,0.3
43,1.001434,0.81919,0.60748,0.991596,0.726667,0.5,0.658667,0.0003863609314816871,0.3
44,0.931747,0.749645,0.607007,1.052867,0.693333,0.493333,0.633333,0.0003487640452984637,0.3
45,0.976732,0.794273,0.608196,0.950027,0.74,0.473333,0.66,0.00031211499239836786,0.3
46,0.932817,0.750401,0.60805,0.951169,0.706667,0.493333,0.642667,0.0002766397263795755,0.3
47,0.915787,0.733367,0.608067,0.940112,0.746667,0.493333,0.670667,0.00024255696405381548,0.3
48,0.901779,0.71995,0.606097,1.023569,0.733333,0.52,0.669333,0.0002100768369844947,0.3
49,0.99315,0.811065,0.606951,0.900902,0.76,0.5,0.682,0.0001793995959557337,0.3
50,0.956409,0.77427,0.607132,0.988103,0.713333,0.526667,0.657333,0.00015071437635969266,0.3
51,0.860049,0.678053,0.606651,0.938978,0.74,0.526667,0.676,0.00012419803211398463,0.3
